class,class_name,,,,,
2,Apparel,,,,,
3,Artificial body members,,,,,
4,"Baths, closets, sinks and spittoons",,,,,
5,Beds,,,,,
6,Bee culture,,,,,
7,Compound tools,,,,,
8,Bleaching and dyeing of textiles and fibers,,,,,
10,"Bolt, nail, nut, rivet and screw making",,,,,
12,Boot and shoe making,,,,,
14,Bridges,,,,,
15,"Brushing, scrubbing",,,,,
16,Miscellaneous hardware,,,,,
17,Butchering,,,,,
19,"Textiles, fiber preparation",,,,,
23,Chemistry,,,,,
24,"Buckles, buttons, clasps, etc.",,,,,
26,"Textiles, cloth finishing",,,,,
27,Undertaking,,,,,
28,"Textiles, manufacturing",,,,,
29,Metal working,,,,,
30,Cutlery,,,,,
33,Geometrical instruments,,,,,
34,Drying and gas or vapor contact with solids,,,,,
36,"Boots, shoes and leggings",,,,,
37,Excavating,,,,,
38,"Textiles, ironing or smoothing",,,,,
40,"Card, picture and sign exhibiting",,,,,
42,Firearms,,,,,
43,"Fishing, trapping and vermin destroying",,,,,
44,Fuel and igniting devices,,,,,
47,Plant husbandry,,,,,
48,"Gas, heating and illuminating",,,,,
49,Moveable or removeable closures,,,,,
51,Abrading,,,,,
52,"Static structures, eg. buildings",,,,,
53,Package making,,,,,
54,Harness,,,,,
55,Gas separation,,,,,
56,Harvesters,,,,,
57,"Textiles, spinning, twisting and twining",,,,,
59,"Chain, staple and horseshoe making",,,,,
60,Power plants,,,,,
62,Refrigeration,,,,,
63,Jewellery,,,,,
65,Glass manufacturing,,,,,
66,"Textiles, knitting",,,,,
68,"Textiles, fluid treating apparatus",,,,,
69,Leather manufactures,,,,,
70,Locks,,,,,
71,"Chemistry, fertilizers",,,,,
72,Metal deforming,,,,,
73,Measuring and testing,,,,,
74,Machine elements and mechanisms,,,,,
75,Metallurgy,,,,,
76,"Metal tools and implements, making",,,,,
79,Button making,,,,,
81,Tools,,,,,
82,Turning,,,,,
83,Cutting,,,,,
84,Music,,,,,
86,Ammunition and explosive-charge making,,,,,
87,"Textiles, braiding, netting and lacemaking",,,,,
89,Ordnance,,,,,
91,"Motors, expansible chamber type",,,,,
92,Expansible chamber devices,,,,,
95,Gas separation: processes,,,,,
96,Gas separation: apparatus,,,,,
98,Ventilation,,,,,
99,Foods and beverages: apparatus,,,,,
100,Presses,,,,,
101,Printing,,,,,
102,Ammunition and explosive devices,,,,,
104,Railways,,,,,
105,Railway rolling stock,,,,,
106,"Compositions, coating or plastic",,,,,
108,Horizontally supported planar surfaces,,,,,
109,"Safes, bank protection and related devices",,,,,
110,Furnaces,,,,,
111,Planting,,,,,
112,Sewing,,,,,
114,Ships,,,,,
116,Signals and indicators,,,,,
117,Crystal processes;,,,,,
118,Coating apparatus,,,,,
119,Animal husbandry,,,,,
122,Liquid heaters and vaporizers,,,,,
123,Internal combustion engines,,,,,
124,Mechanical guns and projectors,,,,,
125,Stone working,,,,,
126,Stores and furnaces,,,,,
127,"Sugar, starch and carbohydrates",,,,,
128,Surgery,,,,,
130,Threshing,,,,,
131,Tobacco,,,,,
132,Toilet,,,,,
133,Coin handling,,,,,
134,Cleaning and liquid contact,,,,,
135,"Tents, canopies, umbrellas and canes",,,,,
136,"Batteries, thermoelectric and photoelectric",,,,,
137,Fluid handling,,,,,
138,Pipes and tubular conduits,,,,,
139,"Textiles, weaving",,,,,
140,Wireworking,,,,,
141,"Fluent material handling, with receiver or receiver",,,,,
142,Wood turning,,,,,
144,Wood working,,,,,
145,Woodworking tools,,,,,
147,Coopering,,,,,
148,Metal treatment,,,,,
149,Explosive and thermic compositions or charges,,,,,
150,"Cloth, leather and rubber receptacles ",,,,,
152,Resilient tires and wheels,,,,,
156,Adhesive bonding ,,,,,
157,Wheelwright machines,,,,,
159,Concentrating evaporators,,,,,
160,"Closures, partitions and panels, flexible and portable",,,,,
162,Paper making and fiber preparation,,,,,
163,Needle and pin making,,,,,
164,Metal founding,,,,,
165,Heat exchange,,,,,
166,Wells,,,,,
168,Fariery,,,,,
169,Fire-extinguishers,,,,,
171,Unearthing plants or buried objects,,,,,
172,Earth working,,,,,
173,Tool driving or impacting,,,,,
174,"Electricity, conductors and insulators",,,,,
175,Boring or penetrating the earth,,,,,
177,Weighing scales,,,,,
178,Telegraph,,,,,
179,Telephony,,,,,
180,Motor vehicles,,,,,
181,Acoustics,,,,,
182,"Fire escapes, ladders, scaffolds",,,,,
184,Lubrication,,,,,
185,"Motors, spring, weight and animal powered",,,,,
186,Store service,,,,,
187,Elevators,,,,,
188,Brakes,,,,,
190,Baggage,,,,,
191,"Electricity, transmission to vehicles",,,,,
192,Clutches and power stop control,,,,,
193,"Conveyors, chutes, skids, guides and ways",,,,,
194,Check-controlled apparatus,,,,,
196,Mineral oils apparatus,,,,,
198,"Conveyors, power driven",,,,,
199,Type casting,,,,,
200,"Electricity, circuit maker and breakers",,,,,
201,"Distillation: processes, thermolytic",,,,,
202,Distillation: apparatus,,,,,
203,"Distillation: processes, separatory",,,,,
204,"Chemistry, electrical and wave energy",,,,,
205,Electrolysis,,,,,
206,Special receptacle or package,,,,,
208,Mineral oils; processes and products,,,,,
209,"Classifying, separating and assorting solids",,,,,
210,Liquid purification or separation,,,,,
211,"Supports, racks",,,,,
212,Traversing hoists,,,,,
213,Railway draft appliances,,,,,
215,Bottles and jars,,,,,
216,Etching a substrate: processes,,,,,
217,Wooden receptacles,,,,,
219,Electric heating,,,,,
220,Metallic receptacles,,,,,
221,Article dispensing,,,,,
222,Dispensing,,,,,
223,Apparel apparatus,,,,,
224,Package and article carriers,,,,,
225,Severing by tearing or breaking,,,,,
226,Advancing material of indeterminate length,,,,,
227,Elongated member driving apparatus,,,,,
228,Metal fusion bonding,,,,,
229,Paper receptacles ,,,,,
231,Whips and whip apparatus,,,,,
232,Deposit and collection receptacles,,,,,
234,Selective cutting (eg. punching),,,,,
235,Registers,,,,,
236,Automatic temperature and humidity regulation ,,,,,
237,Heating systems,,,,,
238,"Railways, surface track",,,,,
239,"Fluid sprinkling, spraying and diffusing",,,,,
241,Solid material comminution or disintegration,,,,,
242,Winding and reeling,,,,,
244,Aeronautics,,,,,
245,Wire fabrics and structure,,,,,
246,Railway switches and signals,,,,,
248,Supports,,,,,
249,Static moulds,,,,,
250,Radiant energy,,,,,
251,Valve and valve actuation,,,,,
252,Compositions,,,,,
254,Pushing and pulling implements,,,,,
256,Fences,,,,,
257,"Active solid state devices, eg transistors, solid state diodes",,,,,
258,Railway mail delivery,,,,,
260,Chemistry carbon compounds,,,,,
261,Gas and liquid contact apparatus,,,,,
264,Plastic and nonmetallic article shaping or treating process,,,,,
266,Metallurgical apparatus,,,,,
267,Spring devices,,,,,
269,Work holders,,,,,
270,Sheet material associating or folding,,,,,
271,Sheet feeding or delivering,,,,,
272,Amusement and exercising devices,,,,,
273,"Amusement devices, games",,,,,
276,Type setting,,,,,
277,Joint packing,,,,,
278,"Land vehicles, animal draft appliances",,,,,
279,Chucks or sockets,,,,,
280,Land vehicles,,,,,
281,"Books, strips and leaves",,,,,
282,Manifolding,,,,,
283,Printed matter,,,,,
285,Pipe joints or couplings,,,,,
289,Knots and knot tying,,,,,
290,Prime mover dynamo plants,,,,,
291,Track sanders,,,,,
292,Closure fasteners,,,,,
293,Vehicle fenders,,,,,
294,"Handling, hand and hoist-line implements",,,,,
295,Railway wheels and axles,,,,,
296,"Land vehicles, bodies and tops",,,,,
297,Chairs and seats,,,,,
298,"Land vehicles, dumping",,,,,
299,Mining or in situ disintegration of hard material,,,,,
300,"Brush, broom and mop making",,,,,
301,"Land vehicles, wheels and axles",,,,,
303,Fluid pressure brake and analogous systems,,,,,
305,Wheel substitutes for land vehicles,,,,,
307,Electrical transmission or interconnection systems ,,,,,
308,"Machine elements, bearings and guides",,,,,
310,Electrical generator or motor structure ,,,,,
312,"Supports, cabinet structures",,,,,
313,Electric lamp and discharge devices,,,,,
314,"Electric lamp and discharge devices, consumable electrodes",,,,,
315,"Electric lamp and discharge devices, systems",,,,,
318,"Electricity, motive power systems",,,,,
320,"Electricity, battery and condenser charging and discharging",,,,,
322,"Electricity, single generator systems",,,,,
323,"Electricity, voltage magnitude and phase control systems",,,,,
324,"Electricity, measuring and testing",,,,,
326,Electronic digital logic circuitry,,,,,
327,Misc active electrical nonlinear devices,,,,,
328,Miscellaneous electron space discharge device,,,,,
329,Demodulators and detectors,,,,,
330,Amplifiers,,,,,
331,Oscillators,,,,,
332,Modulators,,,,,
333,Wave transmission lines and networks,,,,,
334,Tuners,,,,,
335,"Electricity, magnetically operated switches",,,,,
336,Inductor devices,,,,,
337,"Electricity, electrothermally or thermally actuated switches",,,,,
338,Electrical resistors,,,,,
339,Electrical connectors,,,,,
340,"Communications, electrical",,,,,
341,Coded data generation or conversion,,,,,
342,"Communications, directive radio wave systems and devices",,,,,
343,"Communications, radio wave antennas",,,,,
345,Computer graphics processing,,,,,
346,Recorders,,,,,
347,Incremental printing of symbolic information,,,,,
348,Television,,,,,
349,"Liquid crystal cells, elements and systems",,,,,
350,"Optics, systems and elements",,,,,
351,"Optics, eye examining vision testing and correcting",,,,,
352,"Optics, motion pictures",,,,,
353,"Optics, image projectors",,,,,
354,Photography,,,,,
355,Photocopying,,,,,
356,"Optics, measuring and testing",,,,,
357,"Active solid state devices, eg transistors, solid state diodes ",,,,,
358,Pictorial communication; television,,,,,
359,Optical: systems and elements,,,,,
360,Dynamic magnetic information storage and retrieval,,,,,
361,"Electricity, electrical systems and devices",,,,,
362,Illumination,,,,,
363,Electric power conversion systems,,,,,
364,Electrical computers and data processing systems,,,,,
365,Static information storage and retrieval ,,,,,
366,Agitating,,,,,
367,"Communication, electrical: acoustic wave systems and devices ",,,,,
368,Horology-time measuring systems or devices,,,,,
369,Dynamic information storage and retrieval,,,,,
370,Multiplex commnications,,,,,
371,Error detection/correction and fault detection/recovery,,,,,
372,Coherent light generators,,,,,
373,Industrial electric heating furnaces,,,,,
374,Thermal measuring and testing,,,,,
375,Pulse or digital communications,,,,,
376,"Induced nuclear reaction, systems and elements",,,,,
377,"Electrical pulse counters, pulse dividers or shift registers",,,,,
378,X-Ray or gamma ray systems or devices,,,,,
379,Telephonic communications,,,,,
380,Cryptography,,,,,
381,Electrical audio signal processing,,,,,
382,Image analysis,,,,,
383,Flexible bags,,,,,
384,Bearing or guides,,,,,
385,Optical waveguides,,,,,
386,Television signal processing for dynamic recording or reproducing,,,,,
388,"Electricity, motor control systems",,,,,
392,Electric resistant heating devices,,,,,
396,Photography (see 354),,,,,
399,Electrophotography,,,,,
400,Typewriting machines,,,,,
401,"Coating, implements with material supply",,,,,
402,Binder device releasably engaging aperture or notch of sheet,,,,,
403,Joints and connections,,,,,
404,Road structure,,,,,
405,Hydraulic and earth engineering,,,,,
406,"Conveyors, fluid current",,,,,
407,Cutters for shaping,,,,,
408,Cutting by use of rotating axially moving tool,,,,,
409,"Gear cutting, milling or planing",,,,,
410,Freight accommodation on freight carrier,,,,,
411,"Expanded, threaded, headed, and driven fasteners-locked ",,,,,
412,"Bookbinding, process and apparatus",,,,,
413,Sheet metal container making,,,,,
414,Material or article handling,,,,,
415,Rotary kinetic fluid motors or pumps,,,,,
416,Fluid reaction surfaces (ie impellers),,,,,
417,Pumps,,,,,
418,Rotary expansible chamber devices,,,,,
419,Powder metallurgy-processes,,,,,
420,Nonferrous alloys or metallic compositions,,,,,
422,Process disinfecting,,,,,
423,"Chemistry, inorganic",,,,,
424,"Drug, bio-affecting and body treating compositions",,,,,
425,Plastic article or earthenware shaping or treating: apparatus,,,,,
426,Food or edible material,,,,,
427,Coating processes,,,,,
428,Stock material or miscellaneous articles,,,,,
429,"Chemistry, electrical current producing apparatus",,,,,
430,Radiation imagery chemistry,,,,,
431,Combustion,,,,,
432,Heating,,,,,
433,Dentistry,,,,,
434,Education and demonstration,,,,,
435,Chemistry: molecular biology and microbiology,,,,,
436,Chemistry: analytical and immunological testing,,,,,
437,Semiconductor device manufacturing: process,,,,,
438,Semiconductor device manufacturing: process ,,,,,
439,Electrical connectors ,,,,,
440,Marine propulsion,,,,,
441,"Buoys, rafts, and aquatic devices",,,,,
442,Fabric,,,,,
445,Electric lamp ,,,,,
446,"Amusement devices, toys",,,,,
449,Bee culture,,,,,
450,Foundation garments,,,,,
452,Butchering,,,,,
453,Coin handling,,,,,
455,Telecommunications,,,,,
460,Crop threshing or separating,,,,,
462,"Books, strips and leaves for manifolding",,,,,
463,Amusement devices: games,,,,,
464,"Rotary shafts, gudgeons, housings and flexible couplings ",,,,,
474,Endless belt power transmission and components,,,,,
475,Planetary gear transmission systems and components,,,,,
493,Manufacturing container or tube from paper,,,,,
494,"Imperforate bowl, centrifugal separators",,,,,
501,Compositions: ceramic,,,,,
502,"Catalyst, solid sorbent, or support thereof, product or process",,,,,
503,Record receiver having plural leaves ,,,,,
504,Plant protecting compositions,,,,,
505,Superconductor technology,,,,,
508,Solid anti-friction devices,,,,,
510,Cleaning auxiliary compositions ,,,,,
512,Perfume compositions,,,,,
514,"Drug, bio-affecting and body treating compositions",,,,,
516,Colloid systems and wetting agents,,,,,
518,Fischer-Tropsch processes,,,,,
520,Synthetic resins,,,,,
521,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
522,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
523,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
524,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
525,Part of the class 520 series-synthetic resins,,,,,
526,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
527,Part of the class 520 series-synthetic resins or natural rubbers,,,,,
528,Part of the class 520 series-synthetic resins,,,,,
530,"Chemistry, peptides or proteins; lignins or reaction products thereof",,,,,
534,Part of the class 532-570 series-organic compounds,,,,,
536,Part of the class 532-570 series-organic compounds,,,,,
540,Part of the class 532-570 series-organic compounds,,,,,
544,Part of the class 532-570 series-organic compounds,,,,,
546,Part of the class 532-570 series-organic compounds,,,,,
548,Part of the class 532-570 series-organic compounds,,,,,
549,Part of the class 532-570 series-organic compounds,,,,,
552,Part of the class 532-570 series-organic compounds,,,,,
554,Part of the class 532-570 series-organic compounds,,,,,
556,Part of the class 532-570 series-organic compounds,,,,,
558,Part of the class 532-570 series-organic compounds,,,,,
560,Part of the class 532-570 series-organic compounds,,,,,
562,Part of the class 532-570 series-organic compounds,,,,,
564,Part of the class 532-570 series-organic compounds,,,,,
568,Part of the class 532-570 series-organic compounds,,,,,
570,Part of the class 532-570 series-organic compounds,,,,,
585,"Chemistry, hydrocarbons",,,,,
588,Hazardous waste destruction,,,,,
600,Surgery,,,,,
601,Surgery: kinesitherapy,,,,,
602,"Surgery: splint, brace, or bandage ",,,,,
604,Surgery,,,,,
606,Surgery,,,,,
607,"Surgery: light, thermal",,,,,
623,Prosthesis,,,,,
700,Data processing: generic control systems or specific applications,,,,,
701,"Data processing - vehicles, navigation and relative location",,,,,
702,"Data processing: measuring, calibrating, or testing",,,,,
703,"Data processing: structural design, modeling, simulation, and emulation",,,,,
705,"Data processing: financial, business practice, management,",,,,,
706,Data processing - artificial intelligence,,,,,
707,Data processing: database and file management or data structures,,,,,
708,Electrical computers: arithmetic processing and calculating,,,,,
709,Electrical computers and digital processing systems:,,,,,
710,Electrical computers and digital data processing systems: input/output,,,,,
711,Electrical computers and digital processing systems: memory,,,,,
718,Electrical computers and digital processing systems: virtual machine task,,,,,
719,Electrical computers and digital processing systems: interprogram,,,,,
725,Interactive video distribution systems,,,,,
800,Multicellular living organisms ,,,,,
901,Robots,,,,,
902,Electronic funds transfer,,,,,
930,Peptide or protein sequence,,,,,
935,Genetic engineering,,,,,
976,Nuclear technology,,,,,
987,Organic compounds ,,,,,
